ID,YearBuilt,SqFt,Story,Acres,Baths,Fireplaces,Value,Zip_cluster_0,Zip_cluster_1
1,1990,2102,1.0,0.77,2.0,1,203200,False,False
2,1986,1740,1.5,0.06,3.0,1,119096,False,False
3,1955,795,1.0,0.3,1.0,0,71666,False,False
4,1983,1152,1.0,0.68,2.0,0,131103,False,False
6,1924,1829,1.5,0.25,3.0,1,496425,True,False
7,1980,1246,1.0,0.29,2.0,1,169187,True,False
8,1989,2264,2.0,0.25,2.5,1,243092,True,False
9,1994,3483,2.5,0.36,3.0,1,432516,False,True
10,1970,1646,1.5,0.29,2.0,0,192794,True,False
11,1990,1188,1.0,0.45,1.0,0,58116,False,False
12,1930,1657,1.5,0.16,1.0,1,394694,False,False
13,1973,1383,1.0,0.46,2.0,1,135298,False,False
14,1985,1212,1.5,0.85,2.0,1,124355,False,False
15,1975,2174,1.0,0.41,2.5,1,230827,True,False
16,1992,1590,1.5,0.17,2.5,1,213300,True,False
17,1981,1901,2.0,0.26,2.5,1,226295,True,False
18,1959,1911,1.0,0.28,3.0,1,318360,True,False
19,1984,3103,2.0,0.95,2.5,1,410025,True,False
20,1959,2514,1.75,0.85,1.0,1,263585,True,False
21,1992,4071,1.75,0.32,3.0,2,483528,False,True
22,1986,1852,2.0,0.27,2.5,0,218228,True,False
23,1988,1178,1.0,0.16,2.0,1,119323,False,False
24,1961,1620,1.0,0.61,2.0,1,128105,False,False
25,1992,2978,2.0,0.73,2.0,1,326287,True,False
26,1992,2851,2.0,0.22,3.0,1,328222,True,False
27,1992,1638,1.75,0.25,2.5,1,180856,True,False
28,1944,1494,1.5,0.16,2.0,1,300993,True,False
29,1960,1483,1.0,0.31,1.5,1,130450,False,False
30,1962,1547,1.0,1.0,1.5,1,96569,False,False
31,1909,705,1.0,0.08,1.0,0,38490,False,False
32,1991,1254,1.0,1.1,2.0,0,125929,False,False
33,1949,720,1.5,0.0,1.0,0,136695,False,False
34,1971,1168,1.0,0.2,1.5,0,127708,False,False
35,1982,1036,1.0,0.18,1.5,0,90091,True,False
36,1982,1400,2.0,0.04,2.5,1,111007,True,False
37,1958,1056,1.0,0.2,1.0,0,158149,False,False
38,1986,1704,2.0,0.2,2.5,1,142576,False,False
39,1963,2280,1.0,0.36,3.0,1,313633,True,False
40,1980,1556,1.0,1.17,2.0,1,215196,True,False
41,1989,1664,2.0,0.21,2.5,1,198737,True,False
42,1985,2532,2.0,1.53,2.5,1,341050,True,False
43,1965,816,1.0,0.39,1.0,0,32184,False,False
44,1976,1285,1.0,0.2,1.5,1,122742,False,False
45,1972,1140,2.0,0.0,1.0,0,61829,True,False
46,1960,1546,1.0,0.4,2.0,1,267028,True,False
47,1985,1476,2.0,0.05,2.5,1,160196,True,False
48,1973,1219,1.0,0.21,1.5,0,97958,False,False
49,1984,2553,2.0,0.36,2.0,1,317717,True,False
50,1949,1272,1.0,0.33,1.0,0,128121,False,False
51,1987,1080,1.0,0.3,2.0,1,159332,True,False
52,1967,2112,1.0,0.33,2.5,1,195396,True,False
53,1987,968,1.0,0.0,1.5,1,89871,True,False
54,1964,1008,1.0,0.33,1.0,0,90040,False,False
55,1986,1771,1.75,0.26,2.5,1,233238,True,False
56,1984,1316,2.0,0.14,2.5,1,177132,True,False
57,1994,2847,1.5,0.36,2.0,1,432023,True,False
58,1998,1782,1.0,0.71,2.0,1,132597,False,False
59,1972,1795,1.75,0.3,2.0,0,154726,False,False
60,1952,2044,1.0,0.42,1.5,1,523366,False,True
61,1992,2145,2.0,1.11,2.5,1,250180,True,False
62,1969,1558,1.0,0.35,2.0,1,150637,False,False
63,1990,2912,2.0,0.36,2.0,1,379166,True,False
64,1989,2895,1.75,0.98,2.0,1,424333,True,False
65,1975,1336,1.0,0.37,2.0,1,163800,False,False
66,1984,784,1.0,0.59,2.0,0,42193,False,False
67,1981,1984,2.0,0.86,2.5,1,324032,True,False
68,1986,1194,1.0,0.46,2.0,1,115865,False,False
69,1983,1146,1.0,0.28,2.0,1,147948,True,False
70,1976,1140,1.0,0.04,2.0,1,153148,True,False
71,1986,1312,2.0,0.03,2.5,0,91833,False,False
72,1976,1296,1.0,0.43,2.0,1,122492,False,False
73,1972,2194,2.0,0.04,2.5,0,184484,True,False
74,1982,1740,1.5,0.26,2.0,1,355716,True,False
75,1986,2535,2.0,1.26,2.5,1,431468,False,True
76,1978,1589,1.0,1.43,2.0,1,187539,False,False
77,1960,1740,1.0,0.47,2.0,1,92749,False,False
79,1978,1240,1.0,0.32,2.0,1,156724,True,False
80,1981,1764,1.0,0.66,2.0,1,320419,True,False
81,1972,2921,1.0,0.63,3.0,1,230304,True,False
82,1984,1130,1.0,0.24,2.0,1,140368,False,False
83,1972,2346,1.0,0.27,2.5,1,219985,True,False
84,1996,2016,1.0,0.33,2.0,0,198937,True,False
85,1960,1792,1.0,0.5,2.0,1,295116,True,False
86,1995,2930,2.0,0.24,2.5,0,349916,False,True
87,1955,1068,1.0,0.3,1.0,0,90503,False,False
88,1955,1448,1.0,0.56,1.0,1,201733,True,False
89,1956,950,1.0,0.71,1.0,0,106816,False,False
90,1991,1370,1.0,0.19,2.0,1,135402,False,False
